MaGiangVienQuanLy: 1041; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 20; MaHocVi: 12
MaGiangVienQuanLy: 1060; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 16
MaGiangVienQuanLy: 0689; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 1039; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 17; MaHocHam: 20; MaHocVi: 13
MaGiangVienQuanLy: 0493; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 1067; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 20; MaHocVi: 12
MaGiangVienQuanLy: 9925; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 1036; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 16
MaGiangVienQuanLy: 0744; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 23; MaHocVi: 13
MaGiangVienQuanLy: 1073; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 20; MaHocVi: 12
MaGiangVienQuanLy: 2200; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 4411; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 17; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 2212; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 2212; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 9334; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 13
MaGiangVienQuanLy: 0678; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 20; MaHocVi: 13
MaGiangVienQuanLy: 2256; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 17; MaHocHam: 20; MaHocVi: 13
MaGiangVienQuanLy: 0230; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 17; MaHocHam: 20; MaHocVi: 13
MaGiangVienQuanLy: 9370; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 17; MaHocHam: 20; MaHocVi: 13
MaGiangVienQuanLy: 9872; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 2135; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 20; MaHocVi: 12
MaGiangVienQuanLy: 4721; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 13
MaGiangVienQuanLy: 4721; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 13
MaGiangVienQuanLy: 9192; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 13
MaGiangVienQuanLy: 1019; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 16
MaGiangVienQuanLy: 4721; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 13
MaGiangVienQuanLy: 4721; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 13
MaGiangVienQuanLy: 4554; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 1021; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 20; MaHocVi: 12
MaGiangVienQuanLy: 1184; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 2193; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 9259; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 1218; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 7040; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 9192; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 13
MaGiangVienQuanLy: 4904; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 9993; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 2204; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 1218; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 1021; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 20; MaHocVi: 12
MaGiangVienQuanLy: 7040; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 0587; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 13
MaGiangVienQuanLy: 1266; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 4784; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 13
MaGiangVienQuanLy: 4573; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 13
MaGiangVienQuanLy: 4046; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 4023; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 0587; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 13
MaGiangVienQuanLy: 4784; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 13
MaGiangVienQuanLy: 4784; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 13
MaGiangVienQuanLy: 4046; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 4573; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 13
MaGiangVienQuanLy: 4023; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 8982; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 2039; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 1187; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 13
MaGiangVienQuanLy: 0246; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 0283; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 0292; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 12
MaGiangVienQuanLy: 1006; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 13
MaGiangVienQuanLy: 9988; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 13
MaGiangVienQuanLy: 6000; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 16
MaGiangVienQuanLy: 6869; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 23; MaHocVi: 12
MaGiangVienQuanLy: 1006; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 13
MaGiangVienQuanLy: 1006; NamHoc: 2016-2017; HocKy: HK01
=> MaLoaiGiangVien: 13; MaHocHam: 19; MaHocVi: 13
MaGiangVienQuanLy: 9988; NamHoc: 2016-2017; HocKy: HK01
